Game,Publisher,Critic_Score,User_Score,Copies,Total_Sales,Year,Genre
"Simple 2000 Series Vol. 45: Koi to Namida to, Tsuioku to...",D3 Publisher,,,,,2004,Adventure
Evochron,Unknown,,,,,2005,Simulation
Shin Super Robot Taisen,Banpresto,,,,0.55,1996,Strategy
The Adventures of Rocky and Bullwinkle and Friends,THQ,,,,,1993,Platform
Flashback,U.S. Gold,,,2.2,,1992,Platform
The Yakyuuken Special,Unknown,,,,,1994,Misc
Steep,Ubisoft,,,,1.01,2016,Sports
Growl,Taito Corporation,,,,,1991,Action
San Goku Shi Game Boy Han,KOEI,,,,,1992,Strategy
Digger T. Rock: The Legend of the Lost City,Milton Bradley,,,,,1990,Platform
Puru-Chara Friends: Hoppe-chan to Sanrio Characters,Neos,,,,,2019,Misc
Daytona USA Deluxe,Sega,,,,,1997,Racing
Kidou Tenshi Angelic Layer,Epoch,,,,,2001,Role-Playing
Konami Wai Wai World,Konami,,,,,1988,Platform
Tokyo Majin Gakuen: Kenfuuchou,Marvelous Interactive,,,,0.03,2008,Adventure
Jr. Pac-Man,Atari,,,,0.78,1984,Puzzle
Oozumou Tamashii,Takara,,,,,1992,Fighting
Body and Brain Connection,Namco Bandai,6,,,0.2,2011,Misc
Monsters University: Catch Archie,Oddworld Inhabitans,,,,,2013,Misc
Dragon Quest VI: Realms of Revelation,Nintendo,7.6,,1.7,,2011,Role-Playing
Lyrica,RNOVA Studio,,,,,2019,Music
Silpheed,Sierra Entertainment,,,,,1988,Shooter
Ken to Mahou to Gakuen Mono. 2,Acquire,,,,0.08,2009,Role-Playing
Earth 2160,Midway Games,,,,0,2005,Strategy
Fighting Fantasy: Starship Traveller,Tin Man Games,,,,,2014,Misc
Actua Ice Hockey 2,Gremlin Interactive Ltd,,,,,1999,Sports
Board Game Classics,"Destination Software, Inc",,,,0.08,2005,Misc
Coropata,LukPlus,,,,,2009,Puzzle
WWF Betrayal,THQ,,,,,2001,Fighting
NadePro!! Kisama no Seiyuu Yatte Miro!,GungHo,,,,0.01,2009,Adventure
Parrot Paradise: Lorikeets,Microsoft,,,,,2011,Misc
Nom,Unknown,,,,,2014,Action
BeatMania Best Hits,Konami,,,,,2000,Simulation
Kanji Sonomama DS Rakubiki Jiten,Nintendo,,,,0.07,2006,Misc
Catz 4,Mindscape,,,,,1999,Simulation
Power Rangers: Ninja Storm,THQ,,,,0.33,2003,Platform
101-in-1 Party Megamix Wii,Atlus,,,0.19,,2009,Misc
Harley-Davidson: Road Trip,Destineer,,,,0.04,2010,Racing
Darius Burst: Chronicle Saviours,Kadokawa Games,,,,0.04,2016,Action
Arcade Classics,Sega,,,,,1996,Misc
Crash Tag Team Racing,VU Games,,,,0.54,2005,Racing
Hardcore Pinball,Telegames,7.3,,,,2002,Misc
Drakensang: The Dark Eye,THQ,,,,0.04,2009,Role-Playing
GOTHA: Ismailia Seneki,Sega,,,,0.08,1995,Strategy
Hunter: The Reckoning Redeemer,VU Games,,,,0.17,2003,Action
Euro Truck Simulator,SCS Software,,,,0.48,2013,Simulation
Pro Mahjong Tsuwamono Advance,Culture Brain,,,,,2005,Misc
Spriggan Powered,Naxat Soft,,,,,1996,Shooter
Cyborg Mice Arena,Microsoft,,,,,2009,Shooter
Kalimba,Microsoft Studios,,,,,2015,Platform
Sakigake!! Kuromati Koukou,DigiCube,,,,,2003,Misc
Crows: Burning Edge,Namco Bandai Games,,,,0.03,2016,Action
Frogger Returns,Konami,,,,,2009,Action
Ultraman All-Star Chronicle,Namco Bandai Games,,,,0.02,2013,Strategy
NHL All-Star Hockey,Sega,,,,,1995,Sports
Halo Wars: Definitive Edition,Microsoft Studios,,,,,2017,Strategy
Final Fantasy,Nintendo,,,,,2004,Misc
Iron Aces: Heros of WWII,Take-Two Interactive,,,,,2006,Action
Kokoro ga Uruou Birei Aquarium DS: Kujira - Iruka - Penguin,Ertain,,,,,2007,Simulation
The Catacomb Abyss 3D,SoftDisk Publishing,,,,,1991,Shooter
Loadout,Edge of Reality,,,,,2014,Shooter
Business Tycoon,Ubisoft,,,,,2000,Simulation
Dance Dance Revolution Ultramix,Konami,,,,0.54,2003,Simulation
Pokémon Puzzle League,Nintendo,,,,0.45,2000,Puzzle
NCAA March Madness 2004,EA Sports,,,,1.03,2003,Sports
Here They Lie,Sony Interactive Entertainment,,,,0.04,2016,Adventure
Monster Pro Wrestling,ASK,,,,,1991,Fighting
Marionette Company,Micro Cabin,,,,,1999,Adventure
Pool Revolution: Cue Sports,Hudson Entertainment,,,,,2008,Sports
Pride FC: Fighting Championships,THQ,,,,0.3,2003,Fighting
Fukakutei Sekai no Tantei Shinshi,Unknown,,,,,2000,Adventure
Real Soccer 2008,Ubisoft,,,,0.04,2008,Sports
Curse of the Amsterdam Diamond,Easy Interactive,,,,0.01,2012,Adventure
Cocktail Paradise,Microsoft,,,,,2009,Misc
Football Manager Handheld 2008,Sega,,,,0.34,2007,Sports
Karaoke Revolution J-Pop Best Vol 5,Konami,,,,,2003,Misc
Fail Hard,Fingersoft,,,,,2014,Misc
Ghost Squad,Sega,7,,,0.77,2007,Shooter
Flag Capture,Atari,,,,0.27,1978,Action
Dreamwalker,Unknown,,,,,2011,Puzzle
Luciennes Quest,Panasonic Interactive Media,,,,,1995,Role-Playing
Otometeki Koi Kakumei * Love Revo! Portable,Idea Factory,,,,0.02,2010,Adventure
Nyaruko-San: Nafushigatai Game no You na Mono,5pb,,,,0.01,2013,Misc
"Anno 1503: Treasures, Monsters & Pirates",Electronic Arts,,,,,2004,Simulation
Neon City Riders,Bromio,,,,,2020,Action-Adventure
Pokémon Super Mystery Dungeon,Nintendo,7.7,,1.66,,2015,Role-Playing
Kingdom Hearts X[chi],Square Enix,,,,,2013,Role-Playing
Hardest Game Ever 2,Orangenose Studios,,,,,2013,Misc
Phantom Brave: We Meet Again,NIS America,7.6,,,0.13,2009,Role-Playing
Going Under,Team 17,,,,,2020,Action
When Maidens Attack,Microsoft,,,,,2011,Role-Playing
The Story of Noah's Ark,SouthPeak Interactive,,,,0.09,2010,Action
Thoroughbred Breeder III,Hect,,,,,1996,Simulation
Densha de Go! Final,Taito,,,,,2004,Simulation
Crystal Defenders,Square Enix,7.5,,,,2009,Strategy
PoPoLoCrois Monogatari II,Sony Computer Entertainment,,,,0.21,2000,Role-Playing
Beyond Good & Evil 2,Ubisoft,,,,,2020,Adventure
LEGO City Undercover,Warner Bros. Interactive Entertainment,8,,,0.75,2017,Platform
Broken Sword: Shadows of the Templars - The Director's Cut,Ubisoft,,,,0.17,2009,Adventure
Shadow Ops: Red Mercury,Atari,,,,0.15,2004,Shooter
Vectorman 2,Sega,,,,,1996,Platform
Datenshi no Amai Yuuwaku x Kaikan Phrase,FuRyu Corporation,,,,0.01,2010,Adventure
Hacker Evolution Duality,exoSyphen Studios,,,0.12,,2011,Strategy
Hatsune Miku: Project Mirai,Sega,,,,,2012,Strategy
Anachronox,Eidos Interactive,,,,0,2001,Role-Playing
Leisure Suit Larry: Love for Sail!,Sierra Online,,,0.75,,1996,Adventure
Boarder Zone,Infogrames,,,,0,2000,Sports
Rome: Total War Alexander,Sega,7.4,,,,2006,Strategy
Tenchi Muyou! Game-Hen,Banpresto,,,,,1995,Strategy
FIFA World Cup Germany 2006,EA Sports,7.9,,,0.57,2006,Sports
Miraculum: The Last Revelation,NEC Interchannel,,,,,1996,Role-Playing
Princess Maker: Go! Go! Princess,NineLives,,,,,1999,Misc
DaGeDar,GameMill,,,,0.08,2011,Action
WeaponLord,Namco,,,,,1995,Fighting
City Soccer Challenge,Phoenix Games,,,,,2006,Sports
Men's Room Mayhem,Triniti Interactive,,,,,2013,Misc
Mystery of the Ancients: Lockwood Manor,Focus Multimedia,,,,,2013,Action
Max Payne,Rockstar Games,7.8,,,0.03,2003,Action
Vegas Party,Storm City Games,,,,0.16,2009,Misc
Psycho Chaser,Naxat Soft,,,,,2008,Shooter
Jitsumei Jikkyou Keiba Dream Classic 2002,Bandai,,,,0.02,2002,Sports
Miracle Warriors: Seal of the Dark Lord,Sega,,,,,1988,Role-Playing
Necronomicon: The Dawning of Darkness,Wanadoo,,,,,2001,Adventure
Never Alone,E-Line Media,,,0.37,,2014,Misc
Leisure Suit Larry 5: Passionate Patti Does a Little Undercover Work,Sierra Online,,,0.25,,1991,Adventure
Rozen Maiden: Gebetgarten,Taito,,,,0.01,2007,Fighting
Storybook Workshop,Konami,,,,0.08,2009,Misc
Kangaroo,Atari,,,,0.72,1983,Platform
Chibi-Robo!: Photo Finder,Nintendo,,,,,2014,Action-Adventure
Dead Space 2,Electronic Arts,,,4,,2011,Action-Adventure
Project Highrise: Architect's Edition,Kasedo Games,,,0.25,,2016,Simulation
Ping Time,Microsoft,,,,,2009,Misc
Party Girls,505 Games,,,,,2005,Misc
Blocky Roads,Crescent Moon Games,,,,,2013,Misc
Digimon All-Star Rumble,Namco Bandai Games,,,,0.09,2014,Fighting
Lethal Enforcers I & II,Konami,,,,0.03,1997,Shooter
Ikaruga,Treasure,,,0.13,,2014,Shooter
Winter Sports - Feel the Spirit,Silver Fox Media,,,,,2013,Misc
LINE COOKIE RUN,SUMS Online Ltd,,,,,2014,Misc
C.O.P.: The Recruit,Ubisoft,5.7,,,0.08,2009,Action
Yu-Gi-Oh! Millennium Duels,Konami Digital Entertainment,,,,,2014,Misc
Miramagia,Travian Games GmbH,,,,,2011,Simulation
Tamagotchi,Bandai,,,,1.45,1997,Simulation
Real Bout Fatal Fury Special (CD),SNK,,,,,1997,Fighting
Pac-Man World 3,Namco,,,,0.21,2005,Platform
Rise of Nations: Rise of Legends,Microsoft Game Studios,8.3,,,0.03,2006,Strategy
Dark Age of Camelot: Platinum Edition,Mythic Entertainment,,,,,2004,Role-Playing
Billiard,Serene,,,,,2001,Sports
Tom Clancy's Splinter Cell: Essentials,Ubisoft,5.6,,,0.2,2006,Shooter
Risk / Battleship / Clue,DSI Games,,,,0.34,2005,Misc
Mutant Mudds Collection,Atooi,,,,,2017,Platform
Capcom's Soccer Shootout,Capcom,,,,0.8,1994,Sports
Jump*Start Kindergarten,Unknown,,,,,1994,Education
Dr. Mario / Puzzle League,Nintendo,7.5,,,0.33,2005,Puzzle
War Gods,Midway Games,,,,0.29,1997,Fighting
No More Heroes: Heroes' Paradise,Konami,7.4,,,0.2,2011,Action
Star Raiders,Atari,,,,,1982,Simulation
Gakuen Toshi Vara Noir,Idea Factory,,,,,2002,Simulation
Avernum 4,Spiderweb Software,,,,,2006,Role-Playing
Wolfenstein: Youngblood,Bethesda Softworks,,,,,2019,Shooter
Roller Angels,Agetec,,,,,2011,Platform
Madden NFL 2004,EA Sports,9.5,,,5.23,2003,Sports
Cat Fight,Little Orbit,,,,,2013,Misc
Eikou Seminar Koushiki DS Kyouzaki: Chuugakkou Eitango - Eitan Zamurai DS,Educational Network,,,,,2009,Misc
Space Ace,Digital Leisure Inc.,,,,,2010,Adventure
Smuggler's Run,Rockstar Games,,,,1.56,2000,Racing
Sega DreamCast Generator: Playable Bits and Video Clips Vol.1,Sega,,,,,1999,Misc
Massive Assault Network 2,Wargaming.net,,,,,2006,Strategy
Nanashi no Game Me,Square Enix,,,,0.03,2009,Action
Eiyuu Densetsu: Sora no Kiseki the 3rd,Falcom Corporation,,,,,2009,Role-Playing
Shadow of the Ninja,Natsume,,,,,2010,Platform
Barbie Game Girl,Hi Tech Expressions,,,,,1992,Platform
Teenage Mutant Ninja Turtles III: The Manhattan Project,Konami,,,,1.39,1992,Action
Pop'n Music 14 Fever!,Konami,,,,0.03,2007,Misc
Auf Wiedersehen Monty: ZX Spectrum,Gremlin Graphics,,,,,1987,Misc
Hoshiori Yume Mirai: Converted Edition,Prototype,,,,0.02,2016,Adventure
Tron: Maze-A-Tron,Mattel Electronics,,,,,1982,Puzzle
Quiz Mobile Gundam: Toi Senshi DX,Namco Bandai,,,,0.04,2006,Puzzle
Hoops,Jaleco,,,,,1989,Sports
Angelique,KOEI,,,,,2002,Strategy
Xevious,Namco,,,,1.52,1990,Shooter
The Last of Us: Left Behind,Sony Computer Entertainment,,,,,2015,Action-Adventure
Tenchu: Stealth Assassins,Activision,8.8,,,1.99,1998,Action
Proteus,Twisted Tree,8,,,,2013,Adventure
Farming Simulator 19,Focus Home Interactive,,,2,,2018,Simulation
WORKxWORK,FuRyu Corporation,,2.5,,0.01,2018,Role-Playing
SingStar Die Toten Hosen,Sony Computer Entertainment,,,,,2007,Misc
The Operational Art of War II: Modern Battles 1956 - 2000,TalonSoft,,,,,1999,Strategy
King's Field (Japan),From Software,,,,0.08,1994,Role-Playing
Souls,Atlus,,,35.8,,2009,Role-Playing
Indycar Series 2005,Codemasters,,,,0.08,2004,Action
Dancing With The Stars,Activision,,,,0.24,2007,Misc
Hohokum,Sony Computer Entertainment,,,,,2014,Adventure
FIFA Manager 09,Electronic Arts,,,,0,2008,Sports
Imagine: Interior Designer,Ubisoft,,,,0.72,2008,Simulation
Rabi Laby,Agetec,,,,,2011,Puzzle
NFL GameDay 98,Sony Computer Entertainment,8.6,,1.4,,1997,Sports
Alien Shooter 2: Reloaded,Sigma,,,,,2009,Shooter
Sekiro: Shadows Die Twice,Activision,,,5,,2019,Action-Adventure
The Lucky Dime Caper starring Donald Duck,Sega,,,,,1992,Platform
Tenchi Muyou! Ryoukouki Gokuraku,Yumedia,,,,0.06,1995,Adventure
Unravel,Electronic Arts,,,,,2016,Platform
Barbie,Hi Tech Expressions,,,15,,1991,Action-Adventure
Rhythm 'n Notes: Improve Your Music Skills,Agetec,,,,0,2007,Misc
Hot Slots,Hacker International,,,,,1991,Misc
Kidou Senshi Gundam: Shin Gihren no Yabou,Namco Bandai,,,,0.14,2011,Strategy
Fred Couples Golf,Sega,,,,,1994,Sports
The Witcher 2: Assassins of Kings,Atari,8.8,,,0.98,2011,Role-Playing
bittos+,MACHINE Studios LLC,,,,,2010,Puzzle
Tobe's Vertical Adventure,Unknown,8,,,,2011,Platform
Madagascar,Activision,6.4,,,1.31,2005,Platform
Star Wars Galaxies: The Complete Online Adventures,LucasArts,,,,,2006,Role-Playing
I Love Puppies,Destineer,,,,0.09,2010,Simulation
Hamtaro: Rainbow Rescue,Nintendo,8.2,,,,2004,Role-Playing
Sharpe Investigations: Death on the Seine,Icarus Games,,,,,2014,Adventure
Wipeout 2048,Sony Computer Entertainment,,,,0.38,2012,Racing
Tom Clancy's Splinter Cell 3D,Ubisoft,8,,,0.3,2011,Action
Star Trek Away Team,Activision,,,,,2001,Strategy
Black Belt,Sega,,,,,1986,Action
Battle Soccer 2,Banpresto,,,,,1994,Sports
Drift,Microsoft,,,,,2008,Misc
Digital Dance Mix Vol. 1: Namie Amuro,Sega,,,,,1997,Misc
Gal Metal!,Xseed Games,7,,,0.02,2018,Music
Minna no Theater Wii,Fuji,,,,,2009,Misc
Twisted Lands: Insomniac,Alawar Entertainment,,,,0.01,2011,Adventure
Aura-Aura Climber,Nintendo,,,,,2010,Action
Bounty Sword: Double Edge,Pioneer LDC,,,,,1998,Role-Playing
Suzuki Super-Bikes II: Riding Challenge,Valcon Games,,,,0.05,2008,Racing
Samurai Siege,Space Ape Games,,,,,2013,Misc
Winning Post 6,KOEI,,,,0.09,2003,Sports
Challenge Me: Brain Puzzles,O-Games,,,,0.06,2009,Puzzle
Detective Conan: Marionette Symphony,Namco Bandai Games,,,,0.05,2013,Adventure
Legend: Hand of God,ValuSoft,,,,0.02,2008,Role-Playing
Legends of Valour,SSI,,,,,1992,Role-Playing
MX vs. ATV Reflex (PSP),THQ,,,,,2009,Racing
Scalebound,Microsoft Studios,,,,,2017,Action
Garrett the Slug,Microsoft,,,,,2008,Action
Break Time: The National Pool Tour,FCI,,,,,1993,Sports
Cross Channel: To All People,KID,,,,,2004,Adventure
Beat the Boss 2,Game Hive Corp.,,,,,2012,Misc
Ai... Sengoku Spirits EX: Gunshiden,Tasuke,,,,,2011,Strategy
Fushigi no Chronicle: Furikaerimasen Katsu Madewa,Spike Chunsoft,,,,0.01,2015,Action
Icewind Dale: The Collection,Interplay,,,,,2002,Role-Playing
Pandemonium!,Crystal Dynamics,,,,0.21,1996,Platform
Pokémon Platinum Version,Nintendo,8.3,8.9,7.6,,2009,Role-Playing
Cross Treasures,Square Enix,,,,0.02,2009,Role-Playing
Final Fantasy Crystal Chronicles: Ring of Fates,Square Enix,7.7,,,0.66,2008,Role-Playing
Vehicular Combat League presents Motor Mayhem,Atari,,,,0.16,2001,Racing
Aaru's Awakening,Unknown,,,,,2014,Action
Mezase Ero Mangaka: Watashi Shoujo Desu Kedo!?,Swan,,,,,2011,Adventure
Super Chase H.Q.,Taito,,,,,1993,Racing
Stronghold Crusader Extreme,Gamecock,4.3,,,0.02,2008,Strategy
Dromedary,Microsoft,,,,,2009,Action
The Talos Principle,Devolver Digital,,,0.93,,2014,Puzzle
No More Heroes: Red Zone,Marvelous Interactive,,,,0.09,2011,Action
Spirits & Spells,DreamCatcher Interactive,,,,0.02,2003,Platform
NBA Live,EA Sports,,,35,,1994,Sports
George of The Jungle and the Search for the Secret,Crave Entertainment,,,,0.05,2008,Platform
Heroes Phantasia,Namco Bandai,,,,0.07,2012,Role-Playing
Sanity: Aiken's Artifact,Fox Interactive,,,,,2000,Misc
Super One More Jump,SMG Studio,,,,,2018,Platform
Valkyrie Profile: Covenant of the Plume,Square Enix,7.5,,0.23,,2009,Role-Playing
Azito 3D,Hamster Corporation,,,,,2011,Simulation
Critter Round-Up,Konami,,,,,2008,Puzzle
Cosmic Ark,Imagic,,,,1.05,1982,Shooter
Magical * Taruruuto-kun,Bandai,,,,,1991,Action
Build-A-Bear Workshop,Game Factory,,,,0.93,2007,Simulation
Weiss Schwarz Portable,Namco Bandai,,,,0.1,2011,Strategy
Street Survival,Microsoft,,,,,2011,Action
Blinding Dark,Bulkypix,,,,,2014,Action
The Coma: Recut,Digerati,,7.8,,,2017,Adventure
SD Gundam G Generation Advance,Bandai,,,,,2003,Role-Playing
Winning Post World 8,Tecmo Koei,,,,0.05,2014,Sports
The Getaway,Sony Computer Entertainment,7.7,,,3.54,2003,Action
Aliens: The Computer Game (Software Studios),Electric Dreams Software,,,,,1987,Misc
BioShock Infinite,2K Games,,,,,2013,Misc
Slotter UP Core 7: Dekitou da! Street Fighter II,Dorart,,,,,2005,Misc
Densha De Go! 64,Taito,,,,0.12,1999,Simulation
Murder Detective: Jack the Ripper,Nippon Ichi Software,,,,,2019,Adventure
Peepar Time,Sanritsu Denki,,,,,1990,Puzzle
Vampire Night,Namco,6.4,,,0.14,2001,Shooter
Albert Odyssey 2: Jashin no Taidou,Sunsoft,,,,,1994,Role-Playing
NFL 2K2,Sega,,,,0.89,2001,Sports
Tom Clancy's Rainbow Six: Vegas,Ubisoft,8.8,,,1.95,2006,Shooter
Anstoss 2,Ascaron Entertainment,,,,,1997,Sports
Eyeshield 21: Portable Edition,Konami,,,,0.02,2006,Role-Playing
NASCAR Rumble,Electronic Arts,,,,0.56,2000,Racing
Strike Force Foxx,Big John Games,,,,,2014,Action
Pro Pinball: The Web,Interplay,,,,,1995,Simulation
Zekkyou Senshi: Sakeburein,Nintendo,,,,,2007,Action
Savage Reign (CD),SNK,,,,,1995,Fighting
The Sims 3: Commemorative Edition,Electronic Arts,,,,,2010,Simulation
@Simple DL Series Vol. 1 : THE Misshitsu kara no Dasshutsu: Fushigi na Kumadonaru Burger Hen,D3 Publisher,,,,,2011,Adventure
FTL: Faster Than Light,Unknown,,,,,2012,Misc
Munich Bus Simulator,Aerosoft,,,,,2014,Misc
Shingen the Ruler,Hot-B,,,,,1990,Strategy
Creature Shock,Virgin Interactive,,,,,1994,Shooter
Ark of Time,Project Two Interactive,,,,,1998,Adventure
Towering Inferno,US Games,,,,,1982,Action
Trivial Pursuit: Bring On The 90's Edition,iWin,,,,,2007,Misc
WWII FIGHTERS,Electronic Arts,,,,,1998,Simulation
QUBIC,Rock Path Collective,,,0.11,,2016,Puzzle
NPPL Championship Paintball 2009,Activision,,,,0.26,2008,Shooter
18 Wheels of Steel: Triple Pack,Unknown,,,,0,2011,Racing
Brain Drain,Acclaim Entertainment,,,,,1998,Puzzle
Digimon World: Dawn / Dusk,Namco Bandai,,,,0.31,2007,Role-Playing
ThreadSpace: Hyperbol,Atari,6.5,,,,2007,Strategy
BattleCry,Bethesda Softworks,,,,,2016,Misc
Itadaki Street DS,Square Enix,,,0.41,,2007,Misc
Ys Seven,Xseed Games,7.6,,,0.23,2010,Role-Playing
Atelier Iris 3: Grand Phantasm (US Sales),NIS America,6.1,,,0.29,2007,Role-Playing
Kirarin * Revolution: Mezase! Idol Queen,Konami,,,,0.1,2007,Simulation
Bladestorm: Nightmare,Tecmo Koei,,,,0.22,2015,Action
Inversion,Namco Bandai Games,,,,0.07,2012,Shooter
X-Men: Destiny,Activision,5.1,,,0.24,2011,Action
Marvel Run Jump Smash!,Marvel Entertainment,,,,,2014,Misc
The Wonderful 101: Remastered,PlatinumGames,,,,,2020,Action-Adventure
Super Mahjong 3: Karakuchi,I'Max,,,,,1994,Misc
SWAT: Special Weapons and Tactics,Toei Animation,,,,,1987,Adventure
God of War Saga,Sony Computer Entertainment,,,,0.89,2012,Action
Barbie and the Three Musketeers,Activision,,,,0.23,2009,Adventure
ShellShock 2: Blood Trails,Eidos Interactive,3.2,,,0.09,2009,Shooter
Yu-Gi-Oh! 5D's World Championship 2011: Over the Nexus,Konami,,,,0.21,2011,Strategy
The Three Kingdoms Love Story ~ The Art of Otome!,Prototype,,,,0.04,2012,Visual Novel
Thexder,Sierra Online,,,,,1987,Action
Season Match 3: Curse of the Witch Crow,Big Fish Games,,,,,2011,Misc
Doraemon 3: Nobita to Toki no Hougyoku,Epoch,,,,,1994,Platform
G.G. Series: Exciting River,Genterprise,,,,,2010,Action
Top Gun: Hornet's Nest,Atari,,,,,1998,Simulation
Ah! My Goddess,NEC,,,,,1997,Adventure
Kindan no Byoutou,Unknown,,,,,2011,Misc
Uchuu no Stellvia,Bandai,,,,,2004,Adventure
Cyber Troopers Virtual-On,Sega,,,,0.42,1996,Fighting
"Ready, Set... Brazil",Unknown,,,,,2014,Misc
Tokyo Majin Gakuen: Fuju Houroku,Marvelous Interactive,,,,,2004,Adventure
J-League Pro Striker 2,Sega,,,,0.04,1994,Sports
Desert Speedtrap starring Road Runner & Wile E. Coyote,Sega,,,,,1994,Platform
Bomberman Blitz,Hudson Soft,,,,,2009,Puzzle
Fate/Tiger Colosseum Upper,Capcom,,,,0.06,2008,Fighting
Doritos Crash Course,Microsoft Game Studios,8,,,,2010,Racing
Dai Makaimura,Capcom,,,,,2010,Platform
EA Sports Active: More Workouts,EA Sports,7.9,,,1.16,2009,Sports
Jewels Ocean: Star of Sierra Leone,Pione Soft,,,,,2006,Adventure
Primal Carnage: Extinction,Pub Games,,,0.19,,2015,Shooter
Cho-Nazo-Oh,Bandai,,,,,2000,Misc
Guild 01,Level 5,,,,0.05,2012,Misc
1942: The Pacific Air War,Microprose,,,,,1994,Simulation
Suki Desu Suzuki-kun!! 4-nin no Suzuki-kun,Idea Factory,,,,,2010,Adventure
Kamen Rider: Climax Scramble Zi-O,Bandai Namco Games,,,,0.03,2018,Fighting
The Simpsons: Bart's Nightmare,Acclaim Entertainment,,,,,1992,Platform
Pink Pong,505 Games,,,,,2005,Sports
Onsei Kanjou Sokuteiki: Kokoro Scan,Sega,,,,0.04,2007,Misc
Chessmaster 5000,Mindscape,,,,,1996,Strategy
MLB Power Pros,2K Sports,8.5,,,0.29,2007,Sports
Acrobat Mission,Techiku,,,,,1992,Shooter
God Wars The Complete Legend,NIS America,,,,0.03,2018,Strategy
TVDJ,Sony Computer Entertainment,,,,,2000,Misc
Honkaku Shogi: Shogi Ou,Warashi,,,,,1998,Misc
Globulos Party,GlobZ,6,,,,2010,Misc
Prime Time NFL Starring Deion Sanders,Sega,,,0.5,,1995,Sports
Macross Ace Frontier,Namco Bandai,,,,0.16,2008,Simulation
Echo Night 2,From Software,,,,,2007,Adventure
Boku wa Koukuu Kanseikan,Tamsoft,,,,,2001,Simulation
Metal Fight Beyblade: Choujou Kessen! Big Bang Bladers,Hudson Soft,,,,0.02,2010,Action
Fix It: Home Improvement Challenge,SouthPeak Interactive,,,,0,2011,Action
Gourmet Chef: Cook Your Way to Fame,Ubisoft,,,,0.14,2008,Misc
The Legend of Kyrandia: Book One,Virgin Interactive,,,,,1992,Adventure
Dairy Queen Tycoon,GameMill,,,,,2008,Strategy
Tom Clancy's Splinter Cell Chaos Theory HD,Ubisoft,,,,,2011,Action
Boboboubo Boubobo: Bakutou Hajike Taisen,Hudson Soft,,,,,2004,Action
Gakkou no Kowai Uwasa: Hanako-San ga Kita!!,Capcom,,,,,1995,Adventure
Operation Europe,KOEI,,,,,1994,Strategy
3x3 Eyes: Kyuusei Koushu,Xing Entertainment,,,,,1995,Adventure
KKND: Krossfire,Infogrames,,,,,1999,Strategy
Wrestle Angels: Survivor,Success,,,,,2006,Misc
The Legend of Heroes: A Tear of Vermillion,Bandai,,,,,1998,Misc
Rock Paintings / Hot Hits,Sega,,,,,1992,Misc
The Red Lantern,"Timberline Studio, Inc.",,,,,2020,Adventure
